LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
ECP,"Tuesday, January 18, 2022",6:12 PM,1I367,Panama City (ECP),NetJets,E55P,Canceled
ORD,"Tuesday, January 18, 2022",6:46 PM,AA4146,Chicago (ORD),American Eagle,E170 (N762DT),Landed 6:49 PM
DEN,"Tuesday, January 18, 2022",8:25 PM,UA465,Denver (DEN),United Airlines,B738 (N77520),Landed 9:01 PM
LGA,"Tuesday, January 18, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N912XJ),Landed 8:14 PM
MSP,"Tuesday, January 18, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N390CA),Landed 9:11 PM
ORD,"Tuesday, January 18, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B737 (N13716),Landed 9:36 PM
DCA,"Tuesday, January 18, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75L (N440YX),Landed 9:38 PM
DTW,"Tuesday, January 18, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N909XJ),Landed 10:05 PM
STL,"Tuesday, January 18, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8566Z),Landed 10:11 PM
ATL,"Tuesday, January 18, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N936XJ),Landed 10:13 PM
IAH,"Tuesday, January 18, 2022",10:45 PM,UA2272,Houston (IAH),United Airlines,B739 (N69833),Landed 10:17 PM
DFW,"Tuesday, January 18, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N668AW),Landed 11:22 PM
PHX,"Tuesday, January 18, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N601AW),Landed 11:28 PM
MIA,"Wednesday, January 19, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N230NN),Landed 11:52 PM
AFW,"Wednesday, January 19, 2022",2:04 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N947AZ),Landed 1:52 AM
CID,"Wednesday, January 19, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N313UP),Landed 6:29 AM
MEM,"Wednesday, January 19, 2022",6:03 AM,FX1500,Memphis (MEM),FedEx,A306 (N665FE),Landed 6:11 AM
SUS,"Wednesday, January 19, 2022",8:18 AM,P8905,St. Louis (SUS),Sierra West Airlines,SW4 (N564TR),Landed 8:30 AM
DTW,"Wednesday, January 19, 2022",8:50 AM,DL5557,Detroit (DTW),Delta Connection,CRJ9 (N691CA),Landed 9:02 AM
DTW,"Wednesday, January 19, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N309PQ),Landed 9:05 AM
ORD,"Wednesday, January 19, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N130SY),Landed 10:17 AM
SQI,"Wednesday, January 19, 2022",10:49 AM,,Sterling (SQI),Frontier,M20P (N5872Q),Landed 11:06 AM
ATL,"Wednesday, January 19, 2022",11:20 AM,DL4698,Atlanta (ATL),Delta Connection,CRJ9 (N936XJ),Landed 11:32 AM
MSP,"Wednesday, January 19, 2022",11:39 AM,DL3918,Minneapolis (MSP),Delta Connection,CRJ9 (N820SK),Landed 11:19 AM
DTW,"Wednesday, January 19, 2022",12:09 PM,,Detroit (DTW),Frontier,C560,Canceled
DFW,"Wednesday, January 19, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N738EV),Landed 12:01 PM
DEN,"Wednesday, January 19, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N983SW),Landed 1:36 PM
PHX,"Wednesday, January 19, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N824AW),Landed 2:03 PM
PHX,"Wednesday, January 19, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N824AW),Landed 2:03 PM
ORD,"Wednesday, January 19, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N606SK),Landed 2:23 PM
IAH,"Wednesday, January 19, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N85340),Landed 2:20 PM
DEN,"Wednesday, January 19, 2022",3:10 PM,WN1750,Denver (DEN),Southwest Airlines,B737 (N7821L),Landed 3:10 PM
CLT,"Wednesday, January 19, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N550NN),Landed 2:56 PM
ORD,"Wednesday, January 19, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N154SY),Landed 3:10 PM
MSP,"Wednesday, January 19, 2022",4:11 PM,SY8650,Minneapolis (MSP),Sun Country Airlines,B738,Landed 4:14 PM
DEN,"Wednesday, January 19, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N452SW),Landed 4:29 PM
DFW,"Wednesday, January 19, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N826AW),Landed 4:08 PM
DTW,"Wednesday, January 19, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N368CA),Landed 4:55 PM
MEM,"Wednesday, January 19, 2022",5:19 PM,FX718,Memphis (MEM),FedEx,A306 (N746FD),Landed 5:46 PM
LAS,"Wednesday, January 19, 2022",5:20 PM,WN2129,Las Vegas (LAS),Southwest Airlines,B737 (N7732A),Landed 5:05 PM
DCA,"Wednesday, January 19, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75L (N436YX),Landed 4:52 PM
ATL,"Wednesday, January 19, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N348NW),Landed 5:12 PM
ORD,"Wednesday, January 19, 2022",6:46 PM,AA4146,Chicago (ORD),American Eagle,E75L (N287NN),Landed 6:41 PM
DBQ,"Wednesday, January 19, 2022",7:21 PM,,Dubuque (DBQ),Frontier,C172 (N823D),Landed 7:10 PM
DBQ,"Wednesday, January 19, 2022",7:32 PM,,Dubuque (DBQ),Frontier,C172 (N915D),Landed 7:05 PM
ORD,"Wednesday, January 19, 2022",8:30 PM,AA9881,Chicago (ORD),American Eagle,E145 (N942LL),Landed 8:02 PM
DEN,"Wednesday, January 19, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N68834),Landed 10:25 PM
LGA,"Wednesday, January 19, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N482PX),Landed 8:13 PM
SLC,"Wednesday, January 19, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N242SY),Landed 8:31 PM
DBQ,"Wednesday, January 19, 2022",9:05 PM,,Dubuque (DBQ),Frontier,C172 (N740D),Landed 9:01 PM
MSP,"Wednesday, January 19, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N601LR),Landed 9:08 PM
ORD,"Wednesday, January 19, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N14250),Landed 9:31 PM
DCA,"Wednesday, January 19, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75L (N446YX),Landed 9:26 PM
TRM,"Wednesday, January 19, 2022",10:10 PM,,Thermal (TRM),Frontier,PC12 (N34MJ),Landed 10:34 PM
DTW,"Wednesday, January 19, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N311PQ),Landed 9:52 PM
STL,"Wednesday, January 19, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8679A),Landed 10:01 PM
ATL,"Wednesday, January 19, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N294PQ),Landed 10:17 PM
IAH,"Wednesday, January 19, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N89308),Landed 10:48 PM
LBF,"Wednesday, January 19, 2022",11:08 PM,,North Platte (LBF),Frontier,PC12 (N959MA),Landed 11:15 PM
GRK,"Wednesday, January 19, 2022",11:24 PM,1I670,Killeen (GRK),NetJets,C68A (N670QS),Landed 12:37 AM
PTK,"Wednesday, January 19, 2022",11:36 PM,RAX7,Oakland County (PTK),Royal Air Freight,FA20 (N900RA),Landed 11:25 PM
PHX,"Wednesday, January 19, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N668AW),Landed 11:40 PM
DFW,"Wednesday, January 19, 2022",11:59 PM,AA1371,Dallas (DFW),American Airlines,A320 (N649AW),Landed 11:33 PM
MIA,"Thursday, January 20, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N283NN),Landed 11:52 PM
CLT,"Thursday, January 20, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N801AW),Landed 12:05 AM
AFW,"Thursday, January 20, 2022",2:22 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:10 AM
CID,"Thursday, January 20, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,A306 (N125UP),Landed 7:04 AM
MEM,"Thursday, January 20, 2022",6:30 AM,FX1500,Memphis (MEM),FedEx,A306 (N685FE),Landed 6:39 AM
LNK,"Thursday, January 20, 2022",7:19 AM,SLH814,Lincoln (LNK),Silverhawk Aviation,C560 (N814SH),Landed 7:17 AM
BNA,"Thursday, January 20, 2022",8:54 AM,G4571,Nashville (BNA),Allegiant Air,A319 (N322NV),Landed 9:05 AM
PWK,"Thursday, January 20, 2022",9:00 AM,GAJ802,Chicago (PWK),Wheels Up,B350 (N802UP),Landed 9:39 AM
DFW,"Thursday, January 20, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N232NN),Landed 8:38 AM
DVN,"Thursday, January 20, 2022",9:31 AM,,Davenport (DVN),Frontier,B350 (N864CA),Landed 9:27 AM
DTW,"Thursday, January 20, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N325PQ),Landed 9:08 AM
ORD,"Thursday, January 20, 2022",9:46 AM,AA3259,Chicago (ORD),American Eagle,CRJ7 (N762SK),Landed 9:19 AM
ORD,"Thursday, January 20, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N132SY),Landed 10:33 AM
ATL,"Thursday, January 20, 2022",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N607AT),Landed 10:44 AM
SUS,"Thursday, January 20, 2022",11:25 AM,,St. Louis (SUS),Frontier,SR22 (N498BC),Landed 11:03 AM
MSP,"Thursday, January 20, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ7 (N398CA),Landed 11:15 AM
ASE,"Thursday, January 20, 2022",12:07 PM,1I319,Aspen (ASE),NetJets,E55P (N319QS),Landed 12:07 PM
DFW,"Thursday, January 20, 2022",12:12 PM,AA3123,Dallas (DFW),SkyWest Airlines,CRJ7 (N752SK),Landed 11:43 AM
DEN,"Thursday, January 20, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N925EV),Landed 1:14 PM
CLT,"Thursday, January 20, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N210NN),Landed 12:41 PM
OSH,"Thursday, January 20, 2022",1:20 PM,NTW459,Oshkosh (OSH),Private owner,BE20 (N459MA),Landed 1:08 PM
LAS,"Thursday, January 20, 2022",1:48 PM,G4811,Las Vegas (LAS),Allegiant Air,A320 (N237NV),Landed 2:52 PM
MIE,"Thursday, January 20, 2022",1:49 PM,,Muncie (MIE),Frontier,TBM9 (N449MA),Landed 2:09 PM
DEN,"Thursday, January 20, 2022",1:57 PM,F9470,Denver (DEN),Frontier,A20N (N338FR),Landed 1:38 PM
SRQ,"Thursday, January 20, 2022",2:13 PM,G4848,Sarasota (SRQ),Allegiant Air,A320 (N262NV),Landed 2:11 PM
PHX,"Thursday, January 20, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N819AW),Landed 2:20 PM
ORD,"Thursday, January 20, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N752EV),Landed 2:22 PM
HOU,"Thursday, January 20, 2022",2:43 PM,G4591,Houston (HOU),Allegiant Air,A319 (N322NV),Landed 3:10 PM
EKI,"Thursday, January 20, 2022",2:43 PM,DPJ485,Elkhart (EKI),Delta Private Jets,BE40 (N485CT),Landed 2:55 PM
IAH,"Thursday, January 20, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N88335),Landed 2:49 PM
LBF,"Thursday, January 20, 2022",3:02 PM,,North Platte (LBF),Frontier,PC12 (N959MA),Unknown
DEN,"Thursday, January 20, 2022",3:10 PM,WN1171,Denver (DEN),Southwest Airlines,B737 (N293WN),Landed 3:02 PM
DEH,"Thursday, January 20, 2022",3:17 PM,,Decorah (DEH),Frontier,PC12 (N34MJ),Landed 3:53 PM
CLT,"Thursday, January 20, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N573NN),Landed 2:58 PM
ORD,"Thursday, January 20, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N117SY),Landed 3:13 PM
PSP,"Thursday, January 20, 2022",3:47 PM,G4822,Palm Springs (PSP),Allegiant Air,A320 (N248NV),Landed 7:17 PM
DEN,"Thursday, January 20, 2022",4:21 PM,UA4763,Denver (DEN),SkyWest Airlines,CRJ2 (N879AS),Landed 4:05 PM
DFW,"Thursday, January 20, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N832AW),Landed 4:14 PM
MSP,"Thursday, January 20, 2022",4:46 PM,DL5307,Minneapolis (MSP),Delta Connection,CRJ9 (N604LR),Landed 4:44 PM
ORD,"Thursday, January 20, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E170 (N764JD),Landed 4:19 PM
DTW,"Thursday, January 20, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N391CA),Landed 5:05 PM
LAS,"Thursday, January 20, 2022",5:20 PM,WN2129,Las Vegas (LAS),Southwest Airlines,B737 (N712SW),Landed 5:32 PM
DCA,"Thursday, January 20, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N412YX),Landed 5:15 PM
ATL,"Thursday, January 20, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N370NW),Landed 6:42 PM
DBQ,"Thursday, January 20, 2022",6:00 PM,,Dubuque (DBQ),Frontier,PA44 (N4438U),Canceled
DBQ,"Thursday, January 20, 2022",6:00 PM,,Dubuque (DBQ),Frontier,PA44 (N4438T),Landed 6:06 PM
MEM,"Thursday, January 20, 2022",6:21 PM,FX718,Memphis (MEM),FedEx,A306 (N726FD),Landed 6:34 PM
DBQ,"Thursday, January 20, 2022",7:55 PM,,Dubuque (DBQ),Frontier,C172 (N57UD),Landed 7:32 PM
DEN,"Thursday, January 20, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N38473),Landed 8:22 PM
LGA,"Thursday, January 20, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N200PQ),Landed 8:21 PM
SLC,"Thursday, January 20, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N242SY),Landed 8:53 PM
MSP,"Thursday, January 20, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N166PQ),Landed 9:05 PM
PGD,"Thursday, January 20, 2022",9:25 PM,G4827,Punta Gorda (PGD),Allegiant Air,A320 (N298NV),Landed 9:31 PM
ORD,"Thursday, January 20, 2022",9:36 PM,AA3697,Chicago (ORD),American Eagle,E75L (N241NN),Landed 9:02 PM
AUS,"Thursday, January 20, 2022",9:44 PM,G4812,Austin (AUS),Allegiant Air,A320 (N237NV),Landed 10:06 PM
ORD,"Thursday, January 20, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N24224),Landed 9:48 PM
DCA,"Thursday, January 20, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75S (N129HQ),Landed 10:30 PM
DTW,"Thursday, January 20, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N296PQ),Landed 9:43 PM
SFB,"Thursday, January 20, 2022",10:23 PM,G4838,Orlando (SFB),Allegiant Air,A320 (N262NV),Landed 10:19 PM
STL,"Thursday, January 20, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8660A),Landed 9:58 PM
ATL,"Thursday, January 20, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N138EV),Landed 10:08 PM
IAH,"Thursday, January 20, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N85358),Landed 10:25 PM
DFW,"Thursday, January 20, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N667AW),Landed 12:39 AM
PHX,"Thursday, January 20, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N110UW),Landed 1:19 AM
MIA,"Friday, January 21, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N209NN),Landed 1:12 AM
CLT,"Friday, January 21, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N9013A),Landed 11:41 PM
AFW,"Friday, January 21, 2022",2:29 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N929AZ),Landed 2:27 AM
CID,"Friday, January 21, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N372UP),Landed 6:47 AM
MEM,"Friday, January 21, 2022",6:09 AM,FX1500,Memphis (MEM),FedEx,A306 (N728FD),Landed 6:43 AM
MSP,"Friday, January 21, 2022",7:16 AM,FX1156,Minneapolis (MSP),FedEx,B752 (N953FD),Landed 7:31 AM
DFW,"Friday, January 21, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N206NN),Landed 8:57 AM
DTW,"Friday, January 21, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N182GJ),Landed 8:59 AM
FCM,"Friday, January 21, 2022",9:38 AM,,Minneapolis (FCM),Frontier,M600 (N38CD),Landed 9:23 AM
SPI,"Friday, January 21, 2022",9:43 AM,,Springfield (SPI),Frontier,PA46 (N991MM),Landed 10:13 AM
ORD,"Friday, January 21, 2022",9:46 AM,AA3259,Chicago (ORD),American Eagle,CRJ7 (N761ND),Landed 9:36 AM
ORD,"Friday, January 21, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N108SY),Landed 10:24 AM
MCO,"Friday, January 21, 2022",10:50 AM,F91067,Orlando (MCO),Frontier,A20N (N380FR),Landed 10:20 AM
ATL,"Friday, January 21, 2022",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N945AT),Landed 1:06 PM
MSP,"Friday, January 21, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ7 (N398CA),Landed 11:38 AM
FCM,"Friday, January 21, 2022",11:55 AM,,Minneapolis (FCM),Frontier,BE36 (N4GE),Landed 11:29 AM
DFW,"Friday, January 21, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N709EV),Landed 12:02 PM
DEN,"Friday, January 21, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N809CA),Landed 12:50 PM
CLT,"Friday, January 21, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N251NN),Landed 12:38 PM
EKI,"Friday, January 21, 2022",1:28 PM,,Elkhart (EKI),Frontier,M600 (N621FG),Landed 1:21 PM
TUL,"Friday, January 21, 2022",2:20 PM,,Tulsa (TUL),Frontier,BE36 (N7EV),Landed 2:17 PM
PHX,"Friday, January 21, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N826AW),Landed 2:41 PM
ORD,"Friday, January 21, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N766SK),Landed 2:14 PM
IAH,"Friday, January 21, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N88327),Landed 3:01 PM
DEN,"Friday, January 21, 2022",3:10 PM,WN1171,Denver (DEN),Southwest Airlines,B737 (N468WN),Landed 3:14 PM
CLT,"Friday, January 21, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N606NN),Landed 2:53 PM
ORD,"Friday, January 21, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N139SY),Landed 3:09 PM
FLL,"Friday, January 21, 2022",3:37 PM,G4818,Fort Lauderdale (FLL),Allegiant Air,A320 (N237NV),Landed 3:59 PM
LAX,"Friday, January 21, 2022",3:40 PM,G4824,Los Angeles (LAX),Allegiant Air,A320 (N298NV),Landed 3:50 PM
DEN,"Friday, January 21, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N914EV),Landed 4:16 PM
DFW,"Friday, January 21, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N807AW),Landed 4:06 PM
LAS,"Friday, January 21, 2022",4:31 PM,G4832,Las Vegas (LAS),Allegiant Air,A320 (N262NV),Landed 4:41 PM
MSP,"Friday, January 21, 2022",4:46 PM,DL5307,Minneapolis (MSP),Delta Connection,CRJ9 (N604LR),Landed 7:14 PM
ORD,"Friday, January 21, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E170 (N763CC),Landed 4:43 PM
LAS,"Friday, January 21, 2022",4:51 PM,F91958,Las Vegas (LAS),Frontier,A20N (N323FR),Landed 4:29 PM
DTW,"Friday, January 21, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N367CA),Landed 4:24 PM
LAS,"Friday, January 21, 2022",5:20 PM,WN2129,Las Vegas (LAS),Southwest Airlines,B737 (N407WN),Landed 5:15 PM
DCA,"Friday, January 21, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N110HQ),Landed 5:47 PM
ATL,"Friday, January 21, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N339NW),Landed 5:11 PM
SPW,"Friday, January 21, 2022",5:43 PM,,Spencer (SPW),Frontier,PAY2 (N302TA),Landed 6:20 PM
DEN,"Friday, January 21, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N64844),Landed 8:13 PM
SLC,"Friday, January 21, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N296SY),Landed 8:38 PM
MSP,"Friday, January 21, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N317CA),Landed 10:13 PM
ORD,"Friday, January 21, 2022",9:36 PM,AA3697,Chicago (ORD),American Eagle,E170 (N760MQ),Landed 9:26 PM
LGA,"Friday, January 21, 2022",9:52 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N485PX),Landed 9:23 PM
ORD,"Friday, January 21, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N77537),Landed 9:47 PM
DCA,"Friday, January 21, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75S (N137HQ),Landed 10:22 PM
DTW,"Friday, January 21, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N279PQ),Landed 9:43 PM
STL,"Friday, January 21, 2022",10:30 PM,WN1952,St. Louis (STL),Southwest Airlines,B738 (N8644C),Landed 12:16 AM
ATL,"Friday, January 21, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N538CA),Landed 10:32 PM
IAH,"Friday, January 21, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N82333),Landed 9:57 AM
PIE,"Friday, January 21, 2022",10:44 PM,G4808,St. Petersburg (PIE),Allegiant Air,A320 (N298NV),Landed 11:06 PM
AZA,"Friday, January 21, 2022",11:21 PM,G4813,Phoenix (AZA),Allegiant Air,A320 (N237NV),Landed 11:12 PM
DFW,"Friday, January 21, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N657AW),Landed 11:17 PM
PHX,"Friday, January 21, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N662AW),Landed 11:52 PM
MIA,"Saturday, January 22, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N230NN),Landed 11:56 PM
CLT,"Saturday, January 22, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N738US),Landed 3:08 AM
AFW,"Saturday, January 22, 2022",2:14 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N947AZ),Landed 2:02 AM
CID,"Saturday, January 22, 2022",6:53 AM,FRG1530,Cedar Rapids (CID),Freight Runners Express,BE99 (N699CZ),Landed 6:41 AM
CID,"Saturday, January 22, 2022",7:10 AM,FX1500,Cedar Rapids (CID),FedEx,B752 (N793FD),Landed 7:38 AM
DTW,"Saturday, January 22, 2022",9:41 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N695CA),Landed 9:09 AM
ORD,"Saturday, January 22, 2022",9:46 AM,AA3259,Chicago (ORD),Delta Connection,CRJ7 (N614SK),Landed 9:47 AM
ORD,"Saturday, January 22, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N200SY),Landed 10:47 AM
ATL,"Saturday, January 22, 2022",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N953AT),Landed 11:40 AM
MSP,"Saturday, January 22, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ9 (N307PQ),Landed 11:19 AM
DEN,"Saturday, January 22, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N909SW),Landed 12:49 PM
IOW,"Saturday, January 22, 2022",12:58 PM,,Iowa City (IOW),Frontier,PC12 (N34MJ),Landed 12:38 PM
CLT,"Saturday, January 22, 2022",1:12 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N595NN),Canceled
PHX,"Saturday, January 22, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N758US),Landed 2:18 PM
PSP,"Saturday, January 22, 2022",2:27 PM,CYO317,Palm Springs (PSP),ATI Jet,LJ60 (N317MP),Landed 2:39 PM
IAH,"Saturday, January 22, 2022",2:47 PM,UA6188,Houston (IAH),United Airlines,E75L (N82366),Canceled
FSD,"Saturday, January 22, 2022",2:59 PM,,Sioux Falls (FSD),Frontier,PC12 (N854AL),Unknown
SCF,"Saturday, January 22, 2022",3:02 PM,,Scottsdale (SCF),Frontier,C680 (N817TV),Unknown
LAS,"Saturday, January 22, 2022",3:15 PM,WN3282,Las Vegas (LAS),Southwest Airlines,B737 (N235WN),Landed 3:26 PM
ORD,"Saturday, January 22, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N113SY),Landed 3:09 PM
CLT,"Saturday, January 22, 2022",3:38 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N589NN),Landed 3:21 PM
DEN,"Saturday, January 22, 2022",4:21 PM,UA4763,Denver (DEN),SkyWest Airlines,CRJ2 (N930EV),Landed 4:07 PM
DFW,"Saturday, January 22, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N839AW),Landed 4:19 PM
PGD,"Saturday, January 22, 2022",4:47 PM,G4826,Punta Gorda (PGD),Allegiant Air,A320 (N279NV),Landed 4:53 PM
ORD,"Saturday, January 22, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E170 (N764JD),Landed 4:42 PM
DCA,"Saturday, January 22, 2022",4:55 PM,AA5536,Washington (DCA),American Eagle,CRJ7 (N515AE),Landed 4:40 PM
MEM,"Saturday, January 22, 2022",4:58 PM,FX534,Memphis (MEM),FedEx,ABM,Unknown
DEN,"Saturday, January 22, 2022",5:25 PM,WN2719,Denver (DEN),Southwest Airlines,B737 (N7847A),Landed 5:21 PM
ATL,"Saturday, January 22, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N370NW),Landed 5:14 PM
DEN,"Saturday, January 22, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N69826),Landed 8:46 PM
